M1,M2,mu,m_chi1,m_chi2,tanb,m_A,m_H,BR_bsg,Omega_h2,sigma_SI,sigma_SD,chi2,weight,label
632.42,1034.42,1012.69,645.135,1055.59,27.1571,1343.58,1098.7,0.000325683,0.170396,7.09282e-09,5.30869e-08,20.1424,1.94661,1
588.397,926.606,1263.09,544.043,1028.23,9.50936,939.433,841.103,0.00037935,0.128428,5.74607e-09,4.89653e-08,19.9813,2.22346,1
476.403,786.059,1342.16,452.784,879.99,35.4506,1805.58,1446.38,0.000291779,0.139016,5.79046e-09,5.21069e-08,26.4449,3.91498,0
113.22,452.653,546.684,178.449,436.714,28.9196,2049.95,1862.02,0.000357549,0.112917,4.71469e-09,3.73495e-08,19.5157,1.5101,1
503.931,960.054,793.592,475.409,917.288,28.7922,2320.91,1838.93,0.000291725,0.157659,7.6076e-09,4.30117e-08,21.9697,11.6415,1
372.626,566.201,577.1,256.539,634.14,37.974,2471.73,2893.69,0.000286294,0.151747,6.28981e-09,5.46811e-08,20.733,2.17453,1
247.162,412.758,637.124,226.239,491.297,20.8438,1631.3,1343.26,0.000326003,0.0879493,9.19829e-10,2.8496e-08,19.8869,3.10686,1
499.241,908.953,943.141,518.41,784.845,16.9173,723.303,854.012,0.000335878,0.14367,3.81258e-09,6.56968e-08,14.0622,2.62538,1
405.223,975.196,1161.16,464.703,803.479,33.9674,1787.92,2200.12,0.000308123,0.108589,4.89496e-09,2.9413e-08,23.2946,2.35062,0
531.575,992.612,909.966,471.024,960.153,15.4661,905.702,927.444,0.000353953,0.181318,9.32944e-09,7.96516e-08,17.9885,4.01702,1
469.115,777.865,1050.45,356.553,731.407,25.7486,2012.12,1605.52,0.000288492,0.0440071,1.73772e-09,1.39998e-08,30.0408,0.0945501,0
367.387,949.802,940.406,444.041,812.946,8.07586,656.012,805.864,0.000370619,0.0894184,4.90842e-09,3.15062e-08,22.709,1.76593,0
435.862,581.034,820.911,311.124,617.576,29.9144,1661.24,1607.49,0.000327906,0.144848,5.5414e-09,6.15138e-08,34.3133,8.51915,0
336.361,651.226,1023.64,309.986,637.304,28.0869,1698.05,1660.42,0.000324528,0.137515,6.03206e-09,4.02172e-08,23.8717,8.44555,0
662.513,1124.58,1203.77,607.858,1092.74,25.9059,1933.14,1428.43,0.00032962,0.0993942,3.74041e-09,4.11634e-08,23.1111,1.73746,0
388.954,656.022,566.623,311.354,499.82,33.1153,1671.79,1727.69,0.000321659,0.11348,6.01784e-09,3.49636e-08,20.1349,6.2546,1
312.092,713.627,957.755,281.009,718.6,35.8826,1791.65,2129.56,0.000307545,0.0838871,3.27891e-09,4.52455e-08,20.4591,0.565564,1
524.909,1162.53,798.865,426.015,921.116,24.9916,1345.39,1652.47,0.000334211,0.179888,5.7261e-09,5.52841e-08,24.6709,1.99599,0
366.16,776.927,756.741,227.989,582.116,22.7821,1999.36,2022.28,0.00027537,0.111913,5.60088e-09,5.78008e-08,25.432,2.84392,0
752.842,1392.02,1286.63,704.71,1089.63,18.2552,1019.66,1744.74,0.000350399,0.0580405,2.6928e-09,4.40671e-08,18.4165,1.94129,1
414.04,898.906,1122.94,417.969,819.531,34.0581,3008.71,2816.84,0.000298266,0.039201,2.0923e-09,1.1617e-08,21.9764,1.14605,1
316.194,668.997,1020.95,320.333,736.506,19.5706,671.66,1106.56,0.000365473,0.0875345,3.6094e-09,3.02648e-08,20.7,2.35166,1
512.563,923.073,835.164,433.065,849.434,19.189,1170.38,895.76,0.000358559,0.0615086,2.25827e-09,4.22862e-08,31.6596,1.71353,0
468.323,1011.69,764.441,504.206,943.24,21.8459,1298.14,1391.67,0.000326905,0.0598895,5.33379e-09,2.21302e-08,20.9072,2.55891,1
570.615,1205.03,1401.37,508.658,1034.58,16.7996,1291.01,1431.03,0.000355211,0.0769146,4.87179e-09,3.06171e-08,19.9811,2.58685,1
310.649,616.317,1012.38,258.846,724.355,29.3706,1861.99,1786.06,0.00034088,0.209476,9.58212e-09,7.78233e-08,23.4074,1.19182,0
362.523,920.862,916.511,406.038,770.829,18.1424,1343.05,1430.77,0.000323982,0.132528,4.70417e-09,4.68498e-08,20.4792,4.90248,1
710.74,1443.11,1555.33,740.108,1276.36,37.3597,1808.02,2120.31,0.000293782,0.105439,3.11509e-09,4.08813e-08,28.0681,2.68928,0
467.223,1014.64,1009.74,452.546,958.684,18.3379,1072.91,1091.02,0.000352667,0.142062,9.14965e-09,5.56361e-08,22.0435,2.1463,1
910.075,1243.57,1737.01,714.19,1424.28,14.3523,930.372,1082.79,0.00034756,0.132272,3.3159e-09,3.40609e-08,25.9673,1.7322,0
486.751,915.05,1217.47,474.45,810.723,35.3934,1974.01,1506.12,0.000332909,0.148276,7.42882e-09,7.02439e-08,22.7658,8.30657,0
309.425,537.42,654.124,277.07,483.519,23.6626,1736.58,1959.74,0.000304962,0.0797374,5.02058e-09,3.49116e-08,23.1609,2.40004,0
602.793,1104.37,1346.64,587.237,913.874,17.1397,1423.63,1063.26,0.000329865,0.125465,4.65707e-09,2.96454e-08,25.0071,4.5916,0
408.271,735.473,771.037,279.823,682.329,29.953,2272.11,2354.3,0.000326439,0.106737,5.16505e-09,3.76332e-08,24.1006,5.19044,0
380.973,856.206,762.703,325.064,657.753,16.071,1433.97,926.16,0.000380617,0.147537,5.13989e-09,3.20954e-08,21.149,5.66411,1
580.239,1005.49,1048.6,443.691,900.728,23.5602,1935.32,1266.96,0.000275865,0.168331,8.66433e-09,6.09546e-08,19.0005,2.7024,1
779.699,1213.91,1550.77,605.688,989.812,19.2706,1820.18,1641.64,0.000356727,0.0870629,5.63632e-09,3.3568e-08,24.4853,1.391,0
391.844,658.133,1148.04,355.557,824.18,21.4594,1551.78,1681.44,0.000339635,0.150256,6.30679e-09,5.78087e-08,18.2856,2.87295,1
13.1732,311.292,191.159,65.6866,390.69,16.3758,1678.17,1234.71,0.000308846,0.109034,6.52894e-09,3.90198e-08,22.127,0.942313,1
253.368,659.066,763.038,259.169,551.158,38.3176,2387.47,2266.08,0.000317484,0.150461,9.81294e-09,7.33964e-08,20.2029,2.06496,1
372.9,937.273,694.527,259.943,608.912,23.6562,1169.54,1308.84,0.000308044,0.132937,7.82308e-09,4.15936e-08,24.834,0.663239,0
329.974,719.086,676.451,266.683,564.22,36.5223,1592.74,1538.96,0.000318207,-0.00704506,-1.94822e-09,9.81441e-09,27.6613,0.652041,0
464.039,872.771,790.552,391.629,789.661,23.7349,1170.39,1468.87,0.000351581,0.102539,4.3731e-09,4.24817e-08,21.7748,2.68615,1
400.247,694.597,869.491,306.951,655.47,22.2994,1737.01,1750.44,0.000321319,0.128367,6.95157e-09,4.3866e-08,17.9124,2.89549,1
333.851,912.932,845.345,446.932,858.534,29.4407,1570.56,1669.28,0.000361493,0.151888,6.34436e-09,2.47747e-08,16.6885,0.614388,1
432.548,788.06,681.63,410.23,839.428,12.1782,620.016,982.545,0.000353791,0.12851,5.87703e-09,5.3122e-08,17.2029,1.68935,1
205.421,520.284,642.073,147.672,541.382,39.033,2458.53,1958.78,0.000341096,0.134915,6.70432e-09,5.5455e-08,21.2659,0.454844,1
400.668,735.107,734.669,427.479,765.711,25.049,1391.8,1954.22,0.000312947,0.206883,8.25256e-09,8.18399e-08,18.691,3.44977,1
374.22,563.092,747.188,330.558,724.089,20.1843,1467.44,1874.13,0.000332587,0.122366,4.97431e-09,3.13476e-08,26.839,0.538571,0
463.095,625.726,1015.02,356.906,677.986,22.2125,888.388,1024.61,0.000370504,0.0499297,9.90537e-10,2.48053e-08,20.2572,4.14074,1
403.578,977.056,1026.66,356.538,783.21,46.6173,2562.98,2266.27,0.000281755,0.158563,8.25424e-09,6.49435e-08,20.7495,5.63719,1
548.141,1059.13,1261.22,508.935,940.607,31.4022,2159.32,2466.26,0.000289074,0.0752696,3.56289e-09,4.3133e-08,24.3411,1.25286,0
422.759,925.453,1202.04,415.748,810.89,35.1211,1493.43,2274.63,0.000311938,0.100522,1.77461e-09,2.82247e-08,26.0274,0.50972,0
341.412,492.773,627.594,288.564,648.693,41.0572,2296.13,2380.02,0.000278384,0.120721,4.7787e-09,2.18459e-08,28.1104,2.11533,0
383.223,1018.35,713.705,398.988,829.921,24.2588,1149.28,1131.91,0.00036431,0.0819658,3.202e-09,1.86737e-08,13.9508,3.34451,1
259.045,746.844,526.53,280.354,556.487,33.8914,1620.78,1825.98,0.000346253,0.181764,7.4176e-09,5.61525e-08,21.7598,3.41217,1
592.82,1056.69,1008.39,465.141,821.417,18.9202,1398.67,2029.32,0.000321187,0.098436,4.70573e-09,5.22498e-08,30.0884,1.9088,0
499.057,853.34,672.679,475.915,823.174,25.8892,2026.01,2187.98,0.000333827,0.108155,5.97187e-09,4.02287e-08,28.2322,0.430014,0
198.629,584.919,488.423,174.407,422.82,19.6103,851.566,1429.42,0.000357729,0.11667,5.07781e-09,4.96924e-08,21.9479,0.238476,1
-22.6884,422.475,349.24,29.3929,52.5585,28.9104,1488.31,1488.57,0.000284436,0.164907,7.2104e-09,4.29086e-08,19.5331,2.19571,1
598.93,1237.33,1227.86,554.458,1136,16.8595,1536.36,1235.25,0.000342781,0.0832013,4.66084e-09,5.31055e-08,22.4273,1.04445,0
716.251,1196.29,1368.77,506.322,1054.2,20.9071,2327.18,1996.14,0.00032993,0.0820174,1.8772e-09,2.74435e-08,27.8508,1.75308,0
535.023,1201.3,847.844,528.799,1003.25,15.1589,1154.59,1418.08,0.000346717,0.163313,3.6741e-09,6.43697e-08,21.797,3.06879,1
643.297,1190,1461.99,482.937,1005.14,11.0524,778.563,1128.33,0.000323978,0.107422,2.34505e-09,5.05399e-08,23.7006,3.13162,0
554.344,1002.08,1070.52,451.872,917.029,34.3903,2223.2,1764.43,0.000304604,0.0655068,1.10457e-09,2.13554e-08,23.2157,2.9046,0
35.193,479.918,460.379,67.1031,325.34,39.2082,2564.56,2210.77,0.000290305,0.15039,7.50312e-09,5.48863e-08,18.2024,3.02826,1
495.907,697.433,1490.73,428.343,780.866,23.7991,1680.91,1678.97,0.000328009,0.160211,8.30315e-09,7.87219e-08,21.0852,2.72826,1
279.084,582.302,664.699,245.08,707.957,26.1403,1470.42,1542.79,0.000296838,0.0893548,1.67039e-09,1.66787e-08,24.0919,6.63234,0
455.01,633.52,461.991,347.294,695.15,13.2933,659.65,771.503,0.000363735,0.155627,6.33608e-09,7.87779e-08,22.6459,1.84503,0
385.224,731.506,865.472,342.473,705.914,22.0076,1089.62,867.504,0.00038263,0.0882682,1.43415e-09,3.44236e-08,24.5485,5.30385,0
448.124,818.42,1059.21,453.36,885.935,23.8214,1160.08,1858.61,0.000349178,0.139254,3.6213e-09,3.64156e-08,28.1134,4.18696,0
242.48,571.962,588.053,190.247,404.134,19.2384,1333.6,1747.67,0.000335218,0.0917533,1.83961e-09,1.02346e-08,27.6912,3.058,0
236.18,600.526,831.683,344.437,619.271,35.0331,1951.55,2185.8,0.00027901,0.151561,6.30079e-09,4.9279e-08,13.0604,2.90302,1
414.126,831.021,859.465,395.352,855.925,44.1792,2278.44,1963.75,0.000284586,0.139614,5.33632e-09,4.24448e-08,21.0068,3.10068,1
185.066,567.324,618.139,193.884,512.159,28.2915,1591.78,1773.88,0.000318889,0.0873553,2.77163e-09,2.41061e-08,26.425,1.1575,0
507.302,791.772,961.559,388.494,700.948,19.3888,1435.85,1261.49,0.000348938,0.161625,6.60868e-09,4.88266e-08,20.7126,1.41247,1
359.6,834.344,745.604,292.873,720.361,25.3385,2225.42,1969.97,0.000306708,0.0762407,2.56982e-09,2.64441e-08,19.5865,2.02675,1
-70.8288,434.438,275.898,78.5135,375.06,20.0098,1496.23,1524.25,0.000333603,0.163791,7.55267e-09,5.2271e-08,23.7601,3.24636,0
233.967,397.254,533.942,256.67,618.226,21.3542,1680.43,2040.22,0.000323386,0.153345,6.96772e-09,4.28645e-08,17.2904,2.87027,1
306.483,1064.59,939.251,304.163,762.987,35.8791,1972.75,2255.14,0.000297186,0.141587,5.11207e-09,4.97092e-08,20.6271,3.00263,1
475.008,946.7,741.914,406.553,817.965,33.101,2369.28,1965.88,0.000294463,0.0855079,3.4348e-09,2.95855e-08,29.6878,6.88861,0
433.507,841.845,644.518,373.477,769.695,31.8555,1384.92,1687.07,0.000315945,0.0788393,4.16322e-09,5.82244e-08,19.0136,4.34749,1
512.203,864.982,656.42,437.326,819.612,22.9655,1606.92,1622.43,0.000319744,0.158106,5.47425e-09,5.05335e-08,21.4968,3.1838,1
588.2,908.398,1040.12,502.272,1055.81,37.1874,2266.2,1670.95,0.000295146,0.0824904,4.01002e-09,2.8799e-08,16.4545,1.34871,1
450.462,914.608,874.806,418.183,840.835,26.1047,1765.12,1824.38,0.000321405,0.129869,8.3795e-09,3.80996e-08,20.8513,3.77908,1
385.793,892.623,868.387,415.917,843.799,9.70032,385.55,656.49,0.000378444,0.119508,3.42808e-09,4.02993e-08,22.2007,3.24821,1
465.321,731.187,1088.05,403.531,692.216,32.8784,2347.06,1817.78,0.000331303,0.148682,6.59509e-09,4.38718e-08,26.5199,1.08477,0
569.971,728.473,1266.98,512.933,894.515,22.1173,1751.53,1347.05,0.000324649,0.177928,7.72015e-09,6.12881e-08,15.0515,1.2313,1
237.312,825.077,714.918,289.06,633.372,42.669,2300.53,2583.4,0.000253239,0.127485,6.64799e-09,5.42093e-08,24.2395,1.73158,0
522.099,976.744,1091.05,453.261,899.484,15.7016,1087.55,1415.22,0.000354978,0.0478408,4.13435e-09,2.42331e-08,26.933,0.927427,0
243.365,618.597,711.087,192.376,541.793,23.1054,1236.08,1404.4,0.000338532,0.110246,4.89081e-09,3.96829e-08,18.6769,1.38208,1
813.341,1319.29,1302.73,662.624,1277.58,21.6107,1431.24,1607.51,0.000317693,0.0784016,5.6646e-09,2.78257e-08,23.7109,1.60944,0
558.928,853.875,1308.55,473.253,837.641,23.1813,1118.75,891.001,0.000311292,0.0767553,2.56848e-09,2.47325e-08,22.1524,4.30819,1
344.349,748.298,678.881,247.187,547.558,31.9705,1934.76,1802.47,0.000320889,0.0480138,1.10511e-09,2.83062e-08,25.3621,4.75471,0
720.405,1137.22,1599.21,631.281,1218.7,19.5483,1091.98,1497.25,0.000341838,0.168546,6.94548e-09,6.29953e-08,28.2261,1.14291,0
435.939,648.204,788.979,370.754,624.891,14.7447,950.065,985.244,0.000342139,0.0807955,1.70009e-09,1.7948e-09,26.0196,3.46866,0
143.363,112.948,63.4532,130.175,291.484,34.5683,2270.74,1985.73,0.00028222,0.169935,6.90483e-09,6.99485e-08,24.1555,2.78159,0
448.683,890.335,1214.05,430.566,810.63,21.7256,1219.87,1650.62,0.000356724,0.138193,4.45758e-09,3.20144e-08,21.6252,4.79877,1
347.234,728.294,644.2,328.373,785.15,28.6623,1622.05,1598.64,0.000337123,0.202235,8.12288e-09,9.64726e-08,15.3804,0.496941,1
819.844,1409.03,1435.53,753.797,1494.46,19.6389,1276.21,1042.63,0.000352715,0.104383,4.45279e-09,7.99942e-09,21.8047,2.08517,1
135.591,491.268,786.994,130.359,353.572,28.8532,1527.93,1756.56,0.000317651,0.053365,2.68659e-09,2.72613e-08,22.6061,6.45634,0
453.533,1014.19,580.984,401.159,851.245,21.8031,1714.59,1288.65,0.000312623,0.131286,5.59764e-09,4.63145e-08,20.2826,1.11317,1
598.938,1138.33,1295.82,520.574,1040.24,24.3474,1670.15,1677.65,0.000367261,0.154828,7.66874e-09,5.53375e-08,16.0066,4.89293,1
375.758,714.615,655.401,273.362,479.666,11.7278,869.844,1250.58,0.000344482,0.1127,2.56776e-09,3.97418e-08,24.6691,3.0345,0
315.252,772.749,935.651,418.16,881.056,32.5542,2216.7,2276.87,0.000311008,0.0775849,3.66991e-09,1.77886e-08,32.9185,2.02204,0
372.78,632.997,991.792,419.874,892.08,29.6298,1666.09,1824.64,0.000359604,0.121602,3.77952e-09,4.40846e-08,19.3412,1.70222,1
485.337,738.099,1192.58,414.111,943.493,16.1595,820.029,866.345,0.00035428,0.103237,3.78556e-09,1.54506e-08,26.4708,1.36167,0
317.761,700.448,998.984,297.708,600.566,23.8591,749.222,793.877,0.00034598,0.174843,8.83456e-09,7.25555e-08,18.4995,7.77704,1
426.362,1015.6,1013.28,471.209,928.902,28.9417,1284.94,1679,0.000340398,0.140244,6.48419e-09,6.51043e-08,20.743,6.22384,1
410.863,1002.02,1046.68,384.159,728.985,28.8264,1827.15,1949.31,0.00027698,0.132526,4.88825e-09,5.69781e-08,22.2296,5.29269,1
594.773,876.524,1251.56,528.046,1006.48,25.4992,1761.36,1655.76,0.000336713,0.021978,-5.02741e-10,1.68675e-08,25.6432,0.273324,0
168.199,468.206,619.014,252.501,534.833,21.7913,1614.09,2139.16,0.000353083,0.118893,6.6909e-09,4.72707e-08,18.6751,2.28213,1
290.997,557.049,608.274,273.568,653.53,49.7236,2344.37,2045.05,0.000309387,0.10102,3.25536e-09,2.95923e-08,22.3096,4.24979,0
336.875,650.734,755.071,239.525,758.624,20.9211,1059.19,1118.36,0.000344568,0.051042,2.49703e-09,2.25048e-09,22.2803,0.683417,1
560.375,987.654,928.79,507.091,964.705,24.3213,2000.6,1618.62,0.000302577,0.173306,7.24984e-09,5.94676e-08,20.5641,3.14404,1
465.655,1005.76,898.754,328.272,747.76,47.4086,2948.12,2780.25,0.000266265,0.182392,7.49609e-09,5.95692e-08,21.4995,2.96518,1
768.364,1079.76,1219.59,643.638,1091.17,23.4632,1659.41,1241.98,0.000318518,0.0802932,4.35849e-09,2.6812e-08,22.0584,3.09779,1
372.341,672.553,883.259,312.485,839.577,24.4716,1412.55,1495.54,0.00030307,0.120976,3.91527e-09,4.66027e-08,20.5493,1.57783,1
358.019,735.955,759.779,294.95,611.081,11.6887,998.906,928.275,0.000384451,0.130032,6.32536e-09,4.58334e-08,22.1732,2.12251,1
409.483,829.211,901.407,313.199,661.601,32.8741,1869.54,2242.05,0.000282814,0.111104,5.4142e-09,2.57156e-08,24.9158,7.5384,0
305.061,617.692,551.103,227.912,567.006,11.1486,1390,1091.26,0.000371535,0.135861,5.86068e-09,3.51129e-08,18.3733,5.54956,1
484.671,830.814,1004.29,370.577,808.885,17.2366,958.112,820.016,0.000350956,0.100818,2.27558e-09,1.64647e-08,21.2581,3.90937,1
413.314,940.976,735.998,321.023,709.494,15.2912,1389.86,1372.99,0.000319266,0.132498,3.66528e-09,4.62227e-08,26.2777,1.55812,0
529.555,892.521,1295.65,389.88,1030.14,21.5752,1307.71,1116.96,0.00032705,0.0857673,3.66168e-09,7.62865e-09,25.1607,3.01041,0
343.728,372.377,509.153,167.429,577.433,35.5794,2208.2,1905.28,0.000291321,0.197856,5.91543e-09,7.52409e-08,23.8615,2.87461,0
198.405,770.988,867.038,245.458,657.048,23.3924,1066.78,1408.71,0.000345012,0.177143,6.96684e-09,6.46807e-08,14.7205,2.38839,1
658.135,1253.11,1281.27,630.356,1023.15,24.7014,1747.35,1316.37,0.000269519,0.0203263,1.54666e-11,-1.22462e-09,25.1933,0.899388,0
14.5742,376.083,379.699,61.2002,153.189,27.0875,1775.09,1674.76,0.000360866,0.0851994,1.75523e-09,1.9778e-08,22.0959,1.29169,1
419.162,681.302,558.815,394.529,737.325,31.5368,1411.57,1654.12,0.000378657,0.0803756,4.03907e-09,2.61044e-08,22.2288,2.00863,1
393.519,765.87,922.459,373.631,686.316,22.3126,1268.18,989.282,0.000328533,0.110844,4.66981e-09,5.02459e-08,20.2984,0.477228,1
217.058,518.527,801.896,203.122,708.922,43.7685,2064.39,2069.88,0.000335316,0.101979,5.34178e-09,2.35068e-08,17.5142,3.96332,1
440.592,813.833,1059.79,350.675,651.072,4.45113,851.258,1056.19,0.00036411,0.184262,8.63951e-09,4.22879e-08,15.7307,1.5515,1
527.422,1152.95,670.091,491.954,842.414,16.983,675.623,874.379,0.000376819,0.0474139,1.15528e-09,2.71715e-08,23.2027,4.03847,0
534.17,996.29,1256.78,446.312,818.11,24.0117,1905.94,1640.73,0.000316385,0.0952001,2.36373e-09,3.5111e-08,29.0921,2.61242,0
310.743,724.635,1030.84,325.146,612.428,16.5894,970.884,1530.83,0.000335141,0.168979,6.43953e-09,5.96265e-08,15.8099,4.99011,1
256.833,665.839,671.664,333.351,495.99,23.4352,864.137,1372.73,0.00033469,0.18196,8.43228e-09,5.85226e-08,13.9512,1.90386,1
557.478,978.444,1143.38,482.759,800.399,29.6636,1640.52,1434.5,0.000317793,0.167099,5.5819e-09,5.4284e-08,24.8004,2.97156,0
464.053,904.812,828.081,441.043,923.916,40.8598,2169.06,1848.74,0.000303075,0.135394,5.87766e-09,6.20827e-08,22.3932,4.678,0
374.615,612.775,677.133,289.012,549.553,25.6034,1804.57,1491.1,0.000314726,0.107415,3.95988e-09,4.21606e-08,19.574,1.43137,1
354.267,893.118,659.025,451.264,705.63,39.173,2211.16,2162.89,0.000315841,0.119824,4.36287e-09,5.10954e-08,18.9749,1.57921,1
547.803,920.887,1051.86,455.1,988.245,28.2504,1984.69,1781.91,0.000316665,0.13909,3.50723e-09,1.74663e-08,30.2841,1.40148,0
363.276,766.603,955.965,318.427,738.424,32.2255,2114.03,1873.45,0.000312374,0.0272918,2.71756e-09,2.54741e-08,21.2431,3.80419,1
467.666,916.968,679.598,410.849,839.247,21.9191,753.342,1001.53,0.000338018,0.111545,5.174e-09,6.14579e-08,17.7104,4.1443,1
614.331,1138.4,1107.41,563.181,909.202,41.9861,2614.55,2352.79,0.00025984,0.116442,5.2524e-09,4.00618e-08,24.3542,4.41757,0
524.735,1239.15,1108.77,541.522,941.342,31.7653,1973.17,1732.2,0.000316551,0.16039,6.77228e-09,5.62242e-08,22.0807,1.75711,1
351.314,819.184,1078.34,455.739,732.125,32.7011,2166.56,2079.48,0.000266584,0.169257,7.06203e-09,6.27361e-08,22.4667,2.24489,0
556.937,1091.73,1203.85,537.472,1029.44,30.705,1741.72,1999.79,0.000316798,0.100852,6.4081e-09,5.55969e-08,24.6021,2.76649,0
141.624,220.926,281.685,113.324,462.388,35.4526,1586.56,1736.75,0.000307144,0.0927648,4.17292e-09,2.29563e-08,19.9223,3.35151,1
321.663,709.209,873.195,309.785,588.86,26.8383,1389.6,1645.7,0.000328518,0.0768219,3.46484e-09,1.78835e-08,25.2246,2.16652,0
297.468,509.963,501.813,241.433,568.463,5.71629,901.491,764.517,0.00037403,0.102124,3.76096e-09,5.29617e-08,21.0626,3.42387,1
590.902,763.607,1157.15,492.022,1109.21,23.4468,1984.55,2309.76,0.000287211,0.140156,7.59942e-09,6.31249e-08,23.2039,3.01617,0
494.254,1021.77,1463.09,488.062,1092,13.4282,1142.07,1100.49,0.00035954,0.129335,4.54592e-09,6.85382e-08,20.6228,2.58956,1
505.375,865.895,1444,513.196,1043.01,16.1713,1167.73,1138.31,0.000345137,0.207281,8.21863e-09,6.6315e-08,18.5642,3.53684,1
135.407,513.761,753.525,184.292,571.554,14.6511,1264.1,1339.79,0.00036892,0.112676,5.40843e-09,2.97991e-08,25.2247,1.1801,0
395.21,822.045,783.073,386.034,1041.29,32.0191,1700.42,1990.33,0.000303871,0.15592,6.07941e-09,5.69064e-08,13.2465,3.27086,1
475.687,863.892,906.081,471.275,858.077,28.3334,1847.13,1341.38,0.00036435,0.0424446,3.63307e-09,6.88099e-09,23.4385,0.5058,0
289.933,800.767,1053.63,297.692,547.228,25.8548,1647.54,1877.46,0.000306909,0.114275,4.68751e-09,3.21055e-08,29.7028,2.57365,0
536.706,1070.54,1000.59,486.749,1054.41,34.0836,2516.74,2214.82,0.000296751,0.128668,5.78431e-09,3.81102e-08,22.8685,4.24823,0
328.607,717.37,814.055,377.103,757.037,16.2322,944.313,893.373,0.000355399,0.126725,5.20334e-09,2.602e-08,19.2974,0.600935,1
423.386,851.101,940.471,445.963,855.617,28.0559,1444.83,1758.58,0.000309676,0.18744,1.00561e-08,7.10163e-08,21.8765,8.3024,1
78.2088,537.15,347.156,94.5184,305.703,21.4147,1321.14,1536.04,0.000313449,0.0825961,2.08849e-09,1.98068e-08,25.4045,2.4766,0
221.658,639.669,503.749,248.726,500.157,26.7289,1647.32,923.21,0.000374267,0.0704124,3.26387e-09,1.9774e-08,24.1433,0.429345,0
295.55,565.181,527.812,302.252,640.341,29.4943,1491.97,1773.96,0.000356052,0.176223,6.36621e-09,4.37839e-08,21.6519,1.30534,1
83.2509,588.4,409.427,139.797,347.759,20.5577,1597.64,1361.58,0.000349042,0.0880756,3.69662e-09,2.23877e-08,17.3851,3.39245,1
502.902,809.652,1158.79,324.589,875.477,17.1367,961.821,1072.27,0.000339452,0.0971288,4.90614e-09,2.46835e-08,20.3213,4.0355,1
481.15,1136.4,1116.61,450.348,970.8,38.4991,1774.13,1712.7,0.000338259,0.122863,4.28383e-09,6.23537e-08,18.1675,5.2584,1
383.41,725.009,754.935,331.431,655.036,24.1462,1007.18,1242.26,0.000329499,0.157944,5.89802e-09,4.45303e-08,14.5744,2.95775,1
322.458,625.376,676.28,232.481,521.552,35.2459,1623.21,1700.84,0.000346996,0.0777112,2.26899e-09,3.11991e-08,25.089,3.38055,0
515.506,859.23,1049.49,406.012,787.161,16.5684,1104.47,1037.05,0.000314688,0.0476979,1.52267e-09,3.5366e-08,27.6902,0.61785,0
303.322,504.022,824.345,295.881,703.191,31.6892,1741.81,1505.31,0.000320276,0.131428,3.41066e-09,4.45704e-08,25.0215,1.8042,0
296.566,643.888,322.568,273.769,587.507,42.5521,1911.39,2065.3,0.000302465,0.0664484,1.87931e-09,1.09473e-08,23.8633,5.48855,0
